,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
200,2019-01-09,1659.42,1652.98,1667.8,1641.4,6.35,1,2019,0.001932110468416015,Slight or No change
201,2019-01-08,1656.58,1664.69,1676.61,1616.61,8.88,1,2019,-0.0017114413469767609,Slight or No change
202,2019-01-07,1629.51,1602.31,1634.56,1589.18,7.99,1,2019,-0.016340895097127772,Slight or No change
203,2019-01-04,1575.39,1530.0,1594.0,1518.31,9.18,1,2019,-0.033212438094887387,Slight or No change
204,2019-01-03,1500.28,1520.01,1538.0,1497.11,6.98,1,2019,-0.04767708313496988,Slight or No change
205,2019-01-02,1539.13,1465.2,1553.36,1460.93,7.98,1,2019,0.025895166235636147,Slight or No change
206,2018-12-31,1501.97,1510.8,1520.76,1487.0,6.95,12,2018,-0.02414350964505929,Slight or No change
207,2018-12-28,1478.02,1473.35,1513.47,1449.0,8.83,12,2018,-0.015945724615005652,Slight or No change
208,2018-12-27,1461.64,1454.2,1469.0,1390.31,9.72,12,2018,-0.011082394013612773,Slight or No change
209,2018-12-26,1470.9,1368.89,1473.16,1363.01,10.41,12,2018,0.00633534933362534,Slight or No change
210,2018-12-24,1343.96,1346.0,1396.03,1307.0,7.22,12,2018,-0.08630090420830783,Slight or No change
211,2018-12-21,1377.45,1464.99,1480.0,1363.96,13.64,12,2018,0.024918896395726087,Slight or No change
212,2018-12-20,1460.83,1484.0,1509.5,1432.69,9.99,12,2018,0.060532142727503624,Slight or No change
213,2018-12-19,1495.08,1543.05,1584.53,1483.18,8.79,12,2018,0.023445575460525836,Slight or No change
214,2018-12-18,1551.48,1540.0,1567.55,1523.01,6.52,12,2018,0.037723733847018215,Slight or No change
215,2018-12-17,1520.91,1566.0,1576.13,1505.01,8.83,12,2018,-0.019703766725964855,Slight or No change
216,2018-12-14,1591.91,1638.0,1642.57,1585.0,6.37,12,2018,0.04668257819331845,Slight or No change
217,2018-12-13,1658.38,1680.0,1692.12,1641.5,5.27,12,2018,0.04175487307699566,Slight or No change
